ID;Ship;Country;Type;Tahun Produksi;Fate
0;Aaron Ward�(DD-132);USA Navy�Royal Navy;Wickes-class destroyer;21-Apr-19;To UK as HMS�Castleton 9 September 1940
1;Aaron Ward�(DD-483);USA Navy;Gleaves-class destroyer;04-Mar-42;Sunk 7 April 1943[1]
2;Aaron Ward�(DM-34);USA Navy;Robert H. Smith-class destroyer-minelayer;28-Oct-44;constructive loss 30 April 1945, scrapped 1946
3;Abbot�(DD-184);USA Navy�Royal Navy;Wickes-class destroyer;19-Jul-19;To UK as HMS�Charlestown 23 September 1940[2]
4;Abbot�(DD-629);USA Navy;Fletcher-class destroyer;23-Apr-43;Decommissioned 1965, scrapped 1975[3]
5;Abdiel;Royal Navy;Abdiel-class minelayer;15-Apr-41;Sunk 10 September 1943[4]
6;Abel P. Upshur;USA Navy�Royal Navy;Clemson-class destroyer;19-Jul-19;To UK as HMS�Clare 9 September 1940
7;Abercrombie;Royal Navy;Roberts-class monitor;05-May-43;Scrapped 1954[5]
8;Abercrombie;USA Navy;John C. Butler-class destroyer escort;01-May-44;Decommissioned 1946, sunk as target 1968
9;Abner Read;USA Navy;Fletcher-class destroyer;05-Feb-43;Sunk 1 November 1944
10;Abukuma;Japan;Nagara-class light cruiser;26-May-25;Sunk 26 October 1944[6]
11;Acasta;Royal Navy;A-class destroyer;11-Feb-30;Sunk 8 June 1940[7]
12;Achates;Royal Navy;A-class destroyer;27-Mar-30;Sunk 31 December 1942
13;Acavus;Royal Navy;MAC ship;Oct-43;Returned to merchant service post-war, renamed Iacara
14;Acheron;Royal Navy;A-class destroyer;13-Oct-31;Sunk 17 December 1940
15;Achilles;Royal Navy/�Royal New Zealand Navy;Leander-class light cruiser;06-Oct-33;sold to India 1948
16;Acree;USA Navy;Cannon-class destroyer escort;19-Jul-43;Decommissioned 1946, scrapped 1973
17;Active;Royal Navy;A-class destroyer;09-Feb-30;Scrapped 1947
18;Activity;Royal Navy;Escort carrier;15-Oct-42;Returned to merchant service April 1946, renamed Breconshire
19;Adams;USA Navy;Robert H. Smith-class destroyer-minelayer;10-Oct-44;Decommissioned 1947, scrapped 1971
20;Adelaide;Royal Australian Navy;Birmingham-class light cruiser;05-Aug-22;Scrapped 1949
21;Admiral Graf Spee;German;Deutschland-class cruiser;06-Jan-36;scuttled 17 December 1939
22;Admiral Hipper;German;Admiral Hipper-class cruiser;25-Apr-39;Scuttled 2 May 1945
23;Admiral Scheer;German;Deutschland-class cruiser;12-Nov-34;Sunk 9 April 1945
24;Admiralty Islands;USA Navy;Casablanca-class escort carrier;13-Jun-44;Scrapped 1947
25;Adrias;Greece;Hunt-class (Type III) escort destroyer;05-Aug-42;Mined 22 October 1943, declared a constructive total loss, scrapped 1945
26;Adula;Royal Navy;MAC ship;Feb-44;Returned to merchant service post-war
27;Aetos;Greece;Wild Beast-class destroyer;19-Oct-12;Decommissioned 1946
28;Afridi;Royal Navy;Tribal-class destroyer;03-May-38;Sunk 3 May 1940
29;Agano;Japan;Agano-class light cruiser;31-Oct-42;Sunk 15 February 1944
30;Ahrens;USA Navy;Buckley-class destroyer escort;12-Feb-44;Decommissioned 1946, scrapped 1967
31;Ajax;Royal Navy;Leander-class light cruiser;03-Jun-35;Scrapped 1949
32;Akagi;Japan;Amagi-class battlecruiser converted to aircraft carrier;27-Mar-27;Sunk 5 June 1942
33;Akizuki;Japan;Akizuki-class destroyer;11-Jun-42;Sunk 25 October 1944
34;Alabama;USA Navy;South Dakota-class battleship;16-Aug-42;Decommissioned 9 January 1947, currently Museum ship since 1964
35;Alaska;USA Navy;Alaska-class large cruiser;17-Jun-44;Scrapped 1960
36;Albatross;Royal Australian Navy;seaplane carrier and repair ship;29-Sep-38;Torpedoed 1944, not repaired, scrapped 1954
37;Albatros;German;1923 Raubvogel-class torpedo boat;05-May-27;Beached 10 April 1940
38;Alberico da Barbiano;Italy;Giussano-class light cruiser;1931;Sunk 13 December 1941
39;Alberto di Giussano;Italy;Giussano-class light cruiser;01-Jan-31;Sunk 13 December 1941
40;Albert T. Harris;USA Navy;John C. Butler-class destroyer escort;29-Nov-44;Sunk as target 1969
41;Albert W. Grant;USA Navy;Fletcher-class destroyer;24-Nov-43;Decommissioned 1971, scrapped 1972
42;Alcantara;Royal Navy;Armed merchant cruiser;1927;Scrapped 1958
43;Aldea;Chile;Serrano-class destroyer;1929;Discarded 1957
44;Alden;USA Navy;Clemson-class destroyer;24-Nov-19;Scrapped 30 November 1945
45;Alexander J. Luke;USA Navy;Buckley-class destroyer escort;19-Feb-44;Decommissioned 1947, sunk as target 1970
46;Alfred A. Cunningham;USA Navy;Allen M. Sumner-class destroyer;23-Nov-44;Decommissioned 1971, sunk as target 1979
47;Alger;USA Navy�Brazil;Cannon-class destroyer escort;12-Nov-43;To Brazil 10 March 1945 as Babitonga, scrapped 1964
48;Alg�rie;France;Heavy cruiser;15-Sep-34;scuttled 27 November 1942
49;Alg�rien;USA Navy�Free France;Cannon-class destroyer escort;23-Jan-44;Scrapped Nov 1965
50;Allen M. Sumner;USA Navy;Allen M. Sumner-class destroyer;26-Jan-44;Scrapped 1974
51;Almirante Brown;Argentina;Veinticinco de Mayo-class cruiser;11-Jul-31;Scrapped 1962
52;Almirante Condell;Chile;Almirante Lynch-class destroyer;Jan-14;Decommissioned 1945
53;Almirante Latorre;Chile;Almirante Latorre-class battleship;1913;Scrapped 1959
54;Almirante Lynch;Chile;Almirante Lynch-class destroyer;1913;Decommissioned 1945
55;Almirante Simpson;Chile;Capitan O'Brien-class submarine;1929;Discarded 1957
56;Altamaha;USA Navy;Bogue-class escort carrier;15-Sep-42;Scrapped 1946
57;Alvin C. Cockrell;USA Navy;John C. Butler-class destroyer escort;07-Oct-44;Sunk as target 1969
58;Amagi;Japan;Unry?-class aircraft carrier;10-Aug-44;Sunk 27 July 1945
59;Amastra;Royal Navy;MAC ship;Sep-43;"Returned to merchant service post-war; renamed Idas"
60;Amazon;Royal Navy;Destroyer class prototype;05-May-27;Scrapped 25 October 1948
61;Ambuscade;Royal Navy;Destroyer class prototype;15-Mar-27;Scrapped 1946
62;Ameer;USA Navy�Royal Navy;Ruler-class escort aircraft carrier;20-Jul-43;Returned to USN 17 January 1946, sold into merchant service 17 September 1946 as Robin Kirk
63;Amesbury;USA Navy;Buckley-class destroyer escort;31-Aug-43;sold for scrap, sank under tow 1962
64;Amethyst;Royal Navy;Modified Black Swan-class sloop;02-Nov-43;Scrapped 19 January 1957
65;Amick;USA Navy;Cannon-class destroyer escort;26-Jul-43;To Japan 1955, to Philippines 1976, scrapped 1989
66;Ammen;USA Navy;Fletcher-class destroyer;12-Mar-43;Scrapped 1960
67;Amsterdam;USA Navy;Cleveland-class light cruiser;08-Jan-45;Scrapped 1971
68;Ancylus;Royal Navy;Rapana-class MAC ship;Oct-43;"returned to merchant service post-war; renamed Imbricaria"
69;Anderson;USA Navy;Sims-class destroyer;19-May-39;Sunk in A-bomb test 1946
70;Andrea Doria;Italy;Andrea Doria-class battleship;13-Mar-16;Scrapped 1956
71;Andres;USA Navy;Evarts-class destroyer escort;15-Mar-43;Scrapped 1946
72;Annapolis;USA Navy�Canada;Town-class destroyer;24-Sep-40;Scrapped 1945
73;Anson;Royal Navy;King George V-class battleship;22-Jun-42;Scrapped 1957
74;Antelope;Royal Navy;A-class destroyer;20-Mar-30;Scrapped 1946
75;Anthony�(H40);Royal Navy;A-class destroyer;14-Feb-30;Scrapped 1948
76;Anthony�(DD-515);USA Navy;Fletcher-class destroyer;26-Feb-43;To West Germany 1958, sunk as target 1979
77;Antietam;USA Navy;Ticonderoga-class aircraft carrier;28-Jan-45;Decommissioned 8 May 1963, scrapped 1974
78;Antiquois;Colombia;Guadiana-class destroyer;;former Douro (Portugal)
79;Anton Schmitt;German;Type 1936 destroyer;24-Sep-39;Sunk 10 April 1940
80;Anzio;USA Navy;Casablanca-class escort carrier;27-Aug-43;Decommissioned 1946, scrapped 1959
81;Aoba;Japan;Aoba-class heavy cruiser;20-Sep-27;Sunk 28 July 1945
82;Apollo;Royal Navy;Abdiel-class minelayer;09-Oct-43;Scrapped 1962
83;Aquila;Italy;aircraft carrier;;Scrapped 1952
84;Arbiter;USA Navy�Royal Navy;Ruler-class escort carrier;31-Dec-43;Returned to USN 3 March 1946, stricken 12 April 1946, sold and renamed Coracero
85;Archer;Royal Navy;Avenger-class escort carrier;17-Nov-41;Decommissioned 6 November 1943, became Empire Lagan aircraft ferry 15 March 1945, returned to USN 9 January 1946
86;Arcona;German;Floating anti-aircraft battery (former light cruiser);18-May-01;Scrapped 1948/1949
87;Ardent;Royal Navy;A-class destroyer;14-Apr-30;Sunk 8 June 1940[7]
88;Arendal;Norway;Hunt-class (Type II) escort destroyer;16-Nov-44;Scrapped 1965
89;Argus;Royal Navy;fleet aircraft carrier;Sep-18;Scrapped 1946
90;Ariadne;Royal Navy;Abdiel-class minelayer;12-Feb-44;Scrapped 1965
91;Arizona;USA Navy;Pennsylvania-class battleship;17-Oct-16;Sunk 7 December 1941, war memorial
92;Ark Royal;Royal Navy;aircraft carrier;16-Dec-38;Sunk 14 November 1941
93;Arkansas;USA Navy;Wyoming-class battleship;17-Sep-12;Sunk 25 July 1946 in A-bomb test
94;Arkhangelsk;Royal Navy�USSR;Revenge-class battleship;30-May-44;returned to Royal Navy 9 February 1949, scrapped Sep 1949
95;Armando Diaz;Italy;Luigi Cadorna-class light cruiser;29-Apr-33;Sunk 25 February 1941
96;Arrow;Royal Navy;A-class destroyer;14-Apr-30;Irreparably damaged, 1944
97;Arteveld;Belgium;patrol boat;;Commissioned as Lorelei (Germany)
98;Arunta;Royal Australian Navy;Tribal-class destroyer;30-Mar-42;Scrapped 1968
99;Ashanti;Royal Navy;Tribal-class destroyer;21-Dec-38;Scrapped 1949
100;Ashigara;Japan;Myoko-class heavy cruiser;1928;Sunk 8 June 1945
101;Astoria�(CA-34);USA Navy;New Orleans-class heavy cruiser;28-Apr-34;Sunk 9 August 1942 Battle of Savo Island
102;Astoria�(CL-90);USA Navy;Cleveland-class light cruiser;17-May-44;Scrapped 1971
103;Atago;Japan;Takao-class heavy cruiser;30-Mar-32;Sunk 23 October 1944
104;Athabaskan;Royal Canadian Navy;Tribal-class destroyer;03-Feb-43;Sunk 29 April 1944
105;Atheling;USA Navy�Royal Navy;Ruler-class escort carrier;01-Aug-43;returned to US 13 December 1946
106;Atherton;USA Navy;Cannon-class destroyer escort;29-Aug-43;To Japan 1955, to Philippines 1976, active as of 2012
107;Atlanta�(CL-51);USA Navy;Atlanta-class light cruiser;24-Dec-41;Sunk 13 November 1942 Guadalcanal
108;Atlanta�(CL-104);USA Navy;Cleveland-class light cruiser;03-Dec-44;Sunk as target 1970
109;Atlantis;German;auxiliary cruiser;19-Dec-39;Sunk 21 November 1941
110;Attacker;USA Navy�Royal Navy;Attacker-class escort carrier;30-Sep-42;Decommissioned 5 January 1946
111;Attilio Regolo;Italy;Capitani Romani-class light cruiser (also known as exploratori oceanici);Aug-42;ceded to France 1948
112;Attu;USA Navy;Casablanca-class escort carrier;30-Jun-44;Scrapped 1947
113;Audacity;Royal Navy;escort aircraft carrier;20-Jun-41;Sunk 21 December 1941
114;Augusta;USA Navy;Northampton-class heavy cruiser;30-Jan-31;Scrapped 1960
115;Aulick�(DD-258);USA Navy�Royal Navy;Clemson-class destroyer;26-Jul-19;To UK as HMS�Burnham 8 October 1940
116;Aulick�(DD-569);USA Navy;Fletcher-class destroyer;27-Oct-42;To Greece 1959, scrapped 1997
117;Ault;USA Navy;Allen M. Sumner-class destroyer;31-May-44;Scrapped 1974
118;Aurora;USSR;Protected cruiser;29-Jul-03;In 1957 became a museum ship.
119;Austin;USA Navy;Evarts-class destroyer escort;13-Feb-43;Scrapped 1947
120;Australia;Royal Australian Navy;County-class heavy cruiser;24-Apr-28;Scrapped 1955
121;Avenger;Royal Navy;Avenger-class escort carrier;02-Mar-42;Sunk 15 November 1942
122;Aventure;Royal Navy�Free France;River-class frigate;21-Jan-44;Decommissioned 1964
123;Ayanami;Japan;Fubuki-class destroyer;30-Apr-30;Sunk 15 November 1942
124;Aylwin;USA Navy;Farragut-class destroyer;01-Mar-35;Scrapped 1947
125;Babbitt;USA;Wickes-class destroyer;24-Oct-19;scrapped 1946
126;Babitonga;USA�Brazil;Cannon-class destroyer escort;10-Mar-45;Decommissioned 1964
127;Bache;USA;Fletcher-class destroyer;14-Nov-42;scrapped 1968
128;Badger;USA;Wickes-class destroyer;29-May-19;scrapped 1945
129;Baependi;USA�Brazil;Cannon-class destroyer escort;19-Dec-44;Decommissioned 1973
130;Bagley;USA;Bagley-class destroyer;12-Jun-37;scrapped 1947
131;Bahia;Brazil;Bahia-class light cruiser;1910;lost 4 July 1945
132;Bailey�(DD-269);USA�UK;Clemson-class destroyer;27-Jun-19;to UK as HMS�Reading 26 November 1940
133;Bailey�(DD-492);USA;Benson-class destroyer;11-May-42;decommissioned 1946, sunk as target 1969
134;Bainbridge;USA;Clemson-class destroyer;09-Feb-21;scrapped 1945
135;Bairoko;USA;Commencement Bay-class escort carrier;16-Jul-45;decommissioned 1955, scrapped 1960
136;Baker;USA;Cannon-class destroyer escort;23-Dec-43;to France 1952, sunk as target 1970
137;Balch;USA;Porter-class destroyer leader;20-Oct-36;scrapped 1946
138;Baldwin;USA;Gleaves-class destroyer;30-Apr-43;decommissioned 1946, scuttled 1961
139;Baltimore;USA;Baltimore-class heavy cruiser;15-Apr-43;decommissioned 2 July 1954, scrapped 1972
140;Bancroft�(DD-256);USA�Canada;Clemson-class destroyer;30-Jun-19;to Canada as HMCS�St. Francis 24 September 1940
141;Bancroft�(DD-598);USA;Benson-class destroyer;30-Apr-42;decommissioned 1946, scrapped 1973
142;Bangust;USA;Cannon-class destroyer escort;30-Oct-43;to Peru 1952, scrapped 1979
143;Barb;USA;Gato-class submarine;02-Apr-42;sold to Italy as Enrico Tazzoli 1954, scrapped 1973
144;Barber;USA;Buckley-class destroyer escort;10-Oct-43;to Mexico 1969, struck 2001
145;Barham;UK;Queen Elizabeth-class battleship;19-Aug-15;sunk 25 November 1941
146;Bari;Italy;light cruiser;1925;sunk 28 June 1943
147;Barker;USA;Clemson-class destroyer;17-Dec-19;scrapped 1945
148;Barnes;USA;Bogue-class escort carrier;20-Feb-43;Decommissioned 29 August 1946, scrapped 1959
149;Barney;USA;Wickes-class destroyer;14-Mar-19;scrapped 1946
150;Baron;USA;Cannon-class destroyer escort;05-Jul-43;to Uruguay 1952, scrapped 1990
151;Barr;USA;Buckley-class destroyer escort;16-Feb-44;sunk as target 1963
152;Barry;USA;Clemson-class destroyer;15-Nov-21;sunk 21 June 1945
153;Bartolomeo Colleoni;Italy;Giussano-class light cruiser;10-Feb-32;Sunk 19 July 1940
154;Barton�(DD-599);USA;Benson-class destroyer;29-May-42;sunk 13 November 1942
155;Barton�(DD-722);USA;Allen M. Sumner-class destroyer;30-Dec-43;sunk as target 1969
156;Basilisk;UK;B-class destroyer;04-Mar-31;sunk 1 June 1940
157;HMAS�Bataan;Australia;Tribal-class destroyer;25-May-45;scrapped 1958
158;USS�Bataan;USA;Independence-class aircraft carrier;17-Nov-43;decommissioned 9 April 1954, scrapped 1960
159;Bates;USA;Buckley-class destroyer escort;13-Sep-43;sunk by kamikazes 25 May 1945
160;Bath;USA�UK�Norway;Town-class destroyer;23-Sep-40;Sunk on 19 August 1941
161;Battler;USA�UK;Attacker-class escort carrier;31-Oct-42;Returned to USN 12 February 1946, scrapped May 1946
162;Bauru;USA�Brazil;Cannon-class destroyer escort;15-Aug-44;Decommissioned 17 September 1981, museum ship
163;Beagle;UK;B-class destroyer;09-Apr-31;scrapped Jan 1946
164;Beale;USA;Fletcher-class destroyer;23-Dec-42;sunk as target 1969
165;B�arn;France�Free France;aircraft carrier;May-27;stricken Nov 1966, scrapped Mar 1967
166;Bearss;USA;Fletcher-class destroyer;12-Apr-44;decommissioned 1963, scrapped 1976
167;Beatty�(DD-640);USA;Gleaves-class destroyer;07-May-42;sunk 6 November 1943
168;Beatty�(DD-756);USA;Allen M. Sumner-class destroyer;31-Mar-45;to Venezuela 1972, scrapped 1981
169;Bebas;USA;Evarts-class destroyer escort;15-May-43;scrapped 1945
171;Bedouin;UK;Tribal-class destroyer;15-Mar-39;Sunk 15 June 1942
173;Belfast;UK;Town-class cruiser;05-Aug-39;Museum ship since 21 October 1971 moored in London next to Tower Bridge
174;Bell;USA;Fletcher-class destroyer;04-Mar-43;decommissioned 1946, sunk as target 1975
175;Belleau Wood;USA;Independence-class aircraft carrier;31-Mar-43;"decommissioned 13 January 1947, transferred to France as Bois Belleau; scrapped 1961"
178;Bengal;India;Bathurst-class minesweeper;08-Aug-42;Decommissioned 1960
179;Benham�(DD-397);USA;Benham-class destroyer;02-Feb-39;sunk 15 November 1942
180;Benham�(DD-796);USA;Fletcher-class destroyer;20-Dec-43;to Peru 1960, scrapped 1980
181;Benner;USA;Gearing-class destroyer;13-Feb-45;scrapped 1975
182;Bennett;USA;Fletcher-class destroyer;09-Feb-43;to Brazil 1959, scrapped 1978
183;Bennington;USA;Essex-class aircraft carrier;06-Aug-44;decommissioned 15 January 1970, scrapped 1994
184;Bennion;USA;Fletcher-class destroyer;14-Dec-43;decommissioned 1946, scrapped 1973
185;Benson;USA;Benson-class destroyer;25-Jul-40;transferred to Taiwan 1954, scrapped 1974
186;Bermuda;UK;Fiji-class cruiser;21-Aug-42;scrapped 1965
187;Bernadou;USA;Wickes-class destroyer;19-May-19;scrapped 1945
188;Z11 Bernd von Arnim;German;Type 1934A destroyer;06-Dec-38;scuttled 13 April 1940
191;Biddle;USA;Wickes-class destroyer;22-Apr-19;scrapped 1946
192;Bideford;UK;Shoreham-class sloop;23-Feb-32;Sold 14 September 1947
193;Biloxi;USA;Cleveland-class light cruiser;31-Aug-43;Scrapped 1962
194;HMS�Birmingham;UK;Southampton-class light cruiser;18-Nov-37;scrapped 1960
195;USS�Birmingham;USA;Cleveland-class light cruiser;29-Jan-43;Scrapped 1959
196;Bismarck;German;Bismarck-class battleship;24-Aug-40;sunk 27 May 1941
197;Bismarck Sea;USA;Casablanca-class escort carrier;20-May-44;sunk 21 February 1945
199;Bivin;USA;John C. Butler-class destroyer escort;31-Oct-44;decommissioned 1947, sunk as target 1969
200;Black;USA;Fletcher-class destroyer;21-May-43;scrapped 1971
201;Black Prince;UK;Dido-class light cruiser;30-Nov-43;Decommissioned March 1962
202;Blair;USA;Edsall-class destroyer escort;13-Sep-43;decommissioned 1960, scrapped 1972
203;Blakeley;USA;Wickes-class destroyer;08-May-19;scrapped 1945
204;Blanche;UK;B-class destroyer;14-Feb-31;sunk 13 November 1939
206;Blessman;USA;Buckley-class destroyer escort;19-Sep-43;to Taiwan 1967, scrapped 1995
207;Block Island�(CVE-21);USA;Bogue-class escort carrier;08-Mar-43;Sunk 29 May 1944
208;Block Island�(CVE-106);USA;Commencement Bay-class escort carrier;30-Dec-44;decommissioned 1954, scrapped 1960
209;Bl�cher;German;Admiral Hipper-class heavy cruiser;20-Sep-39;sunk 9 April 1940
210;Blue�(DD-387);USA;Bagley-class destroyer;14-Aug-37;sunk 22 August 1942
211;Blue�(DD-744);USA;Allen M. Sumner-class destroyer;20-Mar-44;sunk as target 1974
212;B?yskawica;Poland;Grom-class destroyer;25-Nov-37;decommissioned 1 May 1976, preserved as museum ship
213;Boadicea;UK;B-class destroyer;07-Apr-31;sunk 13 June 1944
215;Boggs;USA;Wickes class destroyer-minesweeper;23-Sep-18;scrapped 1946
216;Bogue;USA;Bogue-class escort carrier;26-Sep-42;Decommissioned 30 November 1946, scrapped 1960
217;Boise;USA;Brooklyn-class light cruiser;12-Aug-38;Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978
218;Bolzano;Italy;Trento class heavy cruiser;1933;sunk 1944
219;Bombay;India;Bathurst class minesweeper;24-Apr-42;Decommissioned 1960
220;Bon Homme Richard;USA;Essex-class aircraft carrier;26-Nov-44;decommissioned 2 July 1971, scrapped 1992
221;Booth;USA;Cannon class destroyer escort;19-Sep-43;to Philippines 1967, lost in typhoon 1981
222;Bordelon;USA;Gearing class destroyer;05-Jun-45;to Iran 1977
223;Boreas;UK;B-class destroyer;20-Feb-31;became Salamis (Greece), 1944, returned and scrapped 1951
224;Borie (I);USA;Clemson class destroyer;24-Mar-20;sank 2 November 1943 after ramming and sinking U-405
225;Borie (II);USA;Sumner class destroyer;21-Sep-44;to Argentina 1972, scrapped 1984
226;Borum;USA;Buckley class destroyer escort;30-Nov-43;decommissioned 1946, scrapped 1966
227;Boston;USA;Baltimore-class heavy cruiser;30-Jun-43;decommissioned 1970, scrapped 1975
228;Bostwick;USA;Cannon class destroyer escort;01-Dec-43;to Republic of China 1948, scrapped 1972
229;Bougainville;USA;Casablanca-class escort carrier;18-Jun-44;decommissioned 1946, scrapped 1960
230;Bowers;USA;Buckley class destroyer escort;27-Jan-44;to Philippines 1961
231;Boxer;USA;Ticonderoga-class aircraft carrier;16-Apr-45;decommissioned 1 December 1969, scrapped 1971
232;Boyd;USA;Fletcher-class destroyer;08-May-43;to Turkey 1969, scrapped 1981
233;Boyle;USA;Benson-class destroyer;15-Aug-42;decommissioned 1946, sunk as target 1973
234;Brackett;USA;Evarts class destroyer escort;18-Oct-43;scrapped 1947
235;Bracui;USA�Brazil;Cannon-class destroyer escort;15-Aug-44;Decommissioned 11 July 1972
236;HMS Bradford;USA�UK;Town class destroyer;08-Oct-40;scrapped 1946
237;Bradford;USA;Fletcher-class destroyer;12-Jun-43;to Greece 1962, scrapped 1981
238;Braine;USA;Fletcher-class destroyer;11-May-43;to Argentina 1971, sunk as target 1983
